id,name,iso_code,city_id,address,email,phone,eudamed_uuid,eudamed_identifier,european_vat_number,trade_register,eori,eudamed_type,eudamed_status,scraping_status,european_vat_id,eudamed_competent_authority_id,validator_name,validator_uuid,validator_type,validator_srn,validator_email,validator_phone,website,empl_website,original_website
159a027e-29cc-4b6e-8b33-5a76da26a5c0,Pulsenmore Ltd,IL,5015,,info@pulsenmore.com,,ff7a3270-34f0-4891-8fdb-a50c5212d154,IL-MF-000037891,,515139129,515139129,MF,refdata.actor-status.active,CLEANED_WEBSITE,,1bb77de7-bace-4c0c-b07e-7f3d0f6504eb,DE/CA70 - Landesamt für Umwelt- und Arbeitsschutz,fc633c3d-4d66-48a0-9746-01433d4707e1,CA,DE-CA-066,koordination_marktueberwachung@lua.saarland.se,+49 6818500-0,pulsenmore.com,,www.pulsenmore.com
9b08c9c0-ba49-4e5e-93bb-274874d189b3,Trevi Coliseum s.r.l.,IT,9185,,giovannidapian@trevicoliseum.it,+390437578211,ab658592-f569-4bff-a5b2-ca058b665c31,IT-PR-000032506,00295740252,64345,IT00295740252,PR,refdata.actor-status.active,CLEANED_WEBSITE,,92b4101f-6513-4a62-b42a-7896316087d3,Ministero della salute - Direzione generale dei dispositivi medici e del servizio farmaceutico,1235612b-3d3e-4b32-82f0-b5641f79c8d9,CA,IT-CA-070,segr.dgfdm@sanita.it,+39 06 5994 3199/ +39 06 5994 3207,trevicoliseum.it,,www.trevicoliseum.it
d97ad7d6-912f-4941-a6f0-323043fe9b55,Sure Universal Ltd.,IL,4959,,support@sureuniversal.com,,112b3920-dcd6-4b7e-a006-86112878270c,IL-MF-000038522,514254127,,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,8757af62-eeab-49d1-8574-2b6d9a049e2e,DE/CA22 - Bezirksregierung Münster,cff149f4-4816-43b5-8a3c-8265416b6c78,CA,DE-CA-039,poststelle@brms.nrw.de,0049251411-0,sureuniversal.com,,www.sureuniversal.com
66511575-35e0-4431-8e00-cdbb885e9334,Aerotel Medical Systems (1998) Ltd.,IL,1491,,mkaz@aerotel.com,+972-3-5593222,ecaefe77-b14f-464b-b07a-0add83184499,IL-MF-000038449,,2310005,No EORI,MF,refdata.actor-status.active,CLEANED_WEBSITE,,a116fcfa-d521-4150-aad8-b2f1170c551d,Agencia Española de Medicamentos y Productos Sanitarios,1b74d445-3168-40b0-a305-b532a70727f0,CA,ES-CA-010,sgps@aemps.es,+34 (91) 822 5274,,,
6c3a798e-11c4-4f29-8ab6-bfd55782119f,Geneyx Genomex Ltd,IL,4884,,Support@geneyx.com,,9cf4cc2b-76ac-4a52-ab15-5e5344a95b4f,IL-MF-000039826,515878460,515878460,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,eb7a74cd-99b6-429a-a275-ae4814ccd974,Federaal Agentschap voor Geneesmiddelen en Gezondheidsproducten/ Afdeling Gezondheidsproducten,02210dfd-8057-4c59-88bf-c753e82d5780,CA,BE-CA-007,notifications.meddev@fagg-afmps.be,+32 2 528 40 00,geneyx.com,,www.geneyx.com
7b36e525-990f-4d14-89c5-5a723a236764,Tavger ltd,IL,5016,,mtavger@tavger.com,+972-527322302,56e4cfb8-f695-4df7-b83a-fffb303026be,IL-MF-000039039,,514303817,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,d82cba64-9155-4f89-b7d1-c9c39c94338a,Federaal Agentschap voor Geneesmiddelen en Gezondheidsproducten/ Afdeling Gezondheidsproducten,02210dfd-8057-4c59-88bf-c753e82d5780,CA,BE-CA-007,notifications.meddev@fagg-afmps.be,+32 2 528 40 00,tavger.com,,tavger.com
68d1bb6a-f848-4667-8900-ce50d958d59d,EarWays Medical Ltd.,IL,4961,,contact@earwaysmedical.com,+32 477 17 23 87,38044fe2-eab0-46cd-8232-f0cdd5d96292,IL-MF-000038970,,515137597,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,9a23c0b6-83fe-47b9-afe7-befe25dfc0dc,DE/CA09 - Staatliches Gewerbeaufsichtsamt Hannover,8171d80f-e556-4ffb-b3ff-2993cbd9f350,CA,DE-CA-026,poststelle@gaa-h.niedersachsen.de,-,earwaysmedical.com,,https://earwaysmedical.com
2e823a82-e2e2-4d82-9b76-178e0785e737,Epilady 2000 LLC ,IL,5018,,dafna.mosko@outlook.com,,157319e6-4adc-43a2-bc24-9e8ea74841b5,IL-MF-000039056,,,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,c37d5fd6-f441-4254-87bf-728478467259,"Ministerie van Volksgezondheid, Welzijn en Sport",eaff8bbd-38d6-4ef4-9138-e8ed01f4c46c,CA,NL-CA-058,medische_hulpmiddelen@minvws.nl,+31 70 340 79 11,,,
9f584b58-a309-4821-a2bf-50f766bbde04,DPE Medical,IL,5020,,info@dpemed.com,,abb25fcc-1bf5-4555-bdd4-a107a23750b6,IL-MF-000042640,,512435702,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,598c084a-0e99-4159-bb9d-7c5bf9223692,Federaal Agentschap voor Geneesmiddelen en Gezondheidsproducten/ Afdeling Gezondheidsproducten,02210dfd-8057-4c59-88bf-c753e82d5780,CA,BE-CA-007,notifications.meddev@fagg-afmps.be,+32 2 528 40 00,dpemed.com,,www.dpemed.com
d1736574-c5f8-4a26-abf7-abda7cd1ee7f,B.D.R TECHNOLOGIES LTD,IL,5021,,info@bdrgroup.com,+972-8-9401718,8c8829d0-4d22-4d5e-8a45-083aaf759a36,IL-MF-000040021,512688730,,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,abfb5f08-de05-4651-b635-60c82fce3c11,DE/CA22 - Bezirksregierung Münster,cff149f4-4816-43b5-8a3c-8265416b6c78,CA,DE-CA-039,poststelle@brms.nrw.de,0049251411-0,bdrgroup.com,,https://www.bdrgroup.com
1579ab72-390b-4d78-88ce-c39ae2fe8485,A.R Guide In Medical Ltd.,IL,468,,gadi@guideinmed.com,,84f68c53-9d8b-4d30-b266-457cde2b1921,IL-MF-000039475,,,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,15d6efc5-20b6-4223-959e-73cf28d4cd3c,"Ministerie van Volksgezondheid, Welzijn en Sport",eaff8bbd-38d6-4ef4-9138-e8ed01f4c46c,CA,NL-CA-058,medische_hulpmiddelen@minvws.nl,+31 70 340 79 11,,,
6c650fad-ef43-4efe-a389-4cbf57fc00df,Escala Medical,IL,4963,,customerservice@escalamedical.com,+972-72-260-7000,9c69e95f-d7ae-4636-bc06-5589c6ece227,IL-MF-000039938,15158585,15158585,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,6d853c93-a92a-4682-99cc-798a034789a6,DE/CA22 - Bezirksregierung Münster,cff149f4-4816-43b5-8a3c-8265416b6c78,CA,DE-CA-039,poststelle@brms.nrw.de,0049251411-0,escalamedical.com,,www.Escalamedical.com
0804550f-ecc9-4f20-9872-a75af15d36ae,DSI Dental Solutions Ltd,IL,5007,,info@dsisrael.com,+97289317235,4f87d9d6-3753-4b2a-9942-860c75e8cbc0,IL-MF-000042636,515633493,515633493,,MF,refdata.actor-status.active,CLEANED_WEBSITE,,f9283219-2178-4f4a-8084-41186219d30a,Federaal Agentschap voor Geneesmiddelen en Gezondheidsproducten/ Afdeling Gezondheidsproducten,02210dfd-8057-4c59-88bf-c753e82d5780,CA,BE-CA-007,notifications.meddev@fagg-afmps.be,+32 2 528 40 00,dsisrael.com,,www.dsisrael.com
a5738d15-14c4-4ee9-bf5f-a03c9be4488c,CVAID Ltd.,IL,426,,oren@cvaidmedical.com,,fcce6729-89ef-4cf4-a999-174b09506f90,IL-MF-000041803,,,515913283,MF,refdata.actor-status.active,CLEANED_WEBSITE,,06d4d0bb-debd-4335-8aa2-c741b79acf97,Ministero della salute - Direzione generale dei dispositivi medici e del servizio farmaceutico,1235612b-3d3e-4b32-82f0-b5641f79c8d9,CA,IT-CA-070,segr.dgfdm@sanita.it,+39 06 5994 3199/ +39 06 5994 3207,,,
